id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,parentTitle,decade
tt0406693,videoGame,Darkwatch: Curse of the West,Darkwatch: Curse of the West,0.0,2005.0,,,"Action,Adventure,Fantasy",8.1,198.0,,,,,2000.0
tt0406734,videoGame,The Elder Scrolls III: Tribunal,The Elder Scrolls III: Tribunal,0.0,2002.0,,,"Action,Adventure,Fantasy",8.3,326.0,,,,,2000.0
tt0406751,videoGame,EverQuest: Lost Dungeons of Norrath,EverQuest: Lost Dungeons of Norrath,0.0,2003.0,,,Fantasy,7.9,11.0,,,,,2000.0
tt0406797,videoGame,Gangland,Gangland,0.0,2004.0,,,Action,6.3,13.0,,,,,2000.0
tt0406804,videoGame,Ghost Recon: Jungle Storm,Ghost Recon: Jungle Storm,0.0,2004.0,,,Action,7.3,48.0,,,,,2000.0
tt0406807,videoGame,Go! Go! Hypergrind,Go! Go! Hypergrind,0.0,2003.0,,,"Action,Comedy",7.0,6.0,,,,,2000.0
tt0406924,videoGame,The Land Before Time: Big Water Adventure,The Land Before Time: Big Water Adventure,0.0,2002.0,,,"Adventure,Family",5.4,32.0,,,,,2000.0
tt0406960,videoGame,Major League Baseball 2005,Major League Baseball 2005,0.0,2004.0,,,"Action,Sport",7.2,5.0,,,,,2000.0
tt0407033,videoGame,Nancy Drew: The Secret of Shadow Ranch,Nancy Drew: The Secret of Shadow Ranch,0.0,2004.0,,,"Adventure,Mystery,Romance",8.6,81.0,,,,,2000.0
tt0407034,videoGame,Nancy Drew: Secret of the Scarlet Hand,Nancy Drew: Secret of the Scarlet Hand,0.0,2002.0,,,"Adventure,Mystery",8.4,57.0,,,,,2000.0
tt0407045,videoGame,Nightcaster: Defeat the Darkness,Nightcaster: Defeat the Darkness,0.0,2002.0,,,Fantasy,4.9,11.0,,,,,2000.0
tt0407117,videoGame,Pirates: The Legend of Black Kat,Pirates: The Legend of Black Kat,0.0,2002.0,,,Adventure,7.0,18.0,,,,,2000.0
tt0407195,videoGame,Seven Samurai 20XX,Seven Samurai 20XX,0.0,2004.0,,,"Action,Adventure,Sci-Fi",7.1,17.0,,,,,2000.0
tt0407222,videoGame,Spy Fiction,Spy Fiction,0.0,2004.0,,,Action,7.3,15.0,,,,,2000.0
tt0407280,videoGame,Unreal Championship 2: The Liandri Conflict,Unreal Championship 2: The Liandri Conflict,0.0,2005.0,,,Action,8.1,29.0,,,,,2000.0
tt0407724,videoGame,Desperados: The Shadow of El Diablo,Desperados: Wanted Dead or Alive,0.0,2001.0,,,"Action,Adventure,Western",8.7,192.0,,,,,2000.0
